content,sex,company,employement_type,department
Male Microsoft Full Time BigData,Male,Microsoft,Full Time,BigData
Female Microsoft Full Time BigData,Female,Microsoft,Full Time,BigData
Male Google LLC. Full Time BigData,Male,Google LLC.,Full Time,BigData
Female Google LLC. Full Time BigData,Female,Google LLC.,Full Time,BigData
"Male Tesla, Inc. Full Time BigData",Male,"Tesla, Inc.",Full Time,BigData
"Female Tesla, Inc. Full Time BigData",Female,"Tesla, Inc.",Full Time,BigData
Male Microsoft Part Time BigData,Male,Microsoft,Part Time,BigData
Female Microsoft Part Time BigData,Female,Microsoft,Part Time,BigData
Male Google LLC. Part Time BigData,Male,Google LLC.,Part Time,BigData
Female Google LLC. Part Time BigData,Female,Google LLC.,Part Time,BigData
"Male Tesla, Inc. Part Time BigData",Male,"Tesla, Inc.",Part Time,BigData
"Female Tesla, Inc. Part Time BigData",Female,"Tesla, Inc.",Part Time,BigData
Male Microsoft Full Time AI,Male,Microsoft,Full Time,AI
Female Microsoft Full Time AI,Female,Microsoft,Full Time,AI
Male Google LLC. Full Time AI,Male,Google LLC.,Full Time,AI
Female Google LLC. Full Time AI,Female,Google LLC.,Full Time,AI
"Male Tesla, Inc. Full Time AI",Male,"Tesla, Inc.",Full Time,AI
"Female Tesla, Inc. Full Time AI",Female,"Tesla, Inc.",Full Time,AI
Male Microsoft Part Time AI,Male,Microsoft,Part Time,AI
Female Microsoft Part Time AI,Female,Microsoft,Part Time,AI
Male Google LLC. Part Time AI,Male,Google LLC.,Part Time,AI
Female Google LLC. Part Time AI,Female,Google LLC.,Part Time,AI
"Male Tesla, Inc. Part Time AI",Male,"Tesla, Inc.",Part Time,AI
"Female Tesla, Inc. Part Time AI",Female,"Tesla, Inc.",Part Time,AI
Male Microsoft Full Time Support,Male,Microsoft,Full Time,Support
Female Microsoft Full Time Support,Female,Microsoft,Full Time,Support
Male Google LLC. Full Time Support,Male,Google LLC.,Full Time,Support
Female Google LLC. Full Time Support,Female,Google LLC.,Full Time,Support
"Male Tesla, Inc. Full Time Support",Male,"Tesla, Inc.",Full Time,Support
"Female Tesla, Inc. Full Time Support",Female,"Tesla, Inc.",Full Time,Support
Male Microsoft Part Time Support,Male,Microsoft,Part Time,Support
Female Microsoft Part Time Support,Female,Microsoft,Part Time,Support
Male Google LLC. Part Time Support,Male,Google LLC.,Part Time,Support
Female Google LLC. Part Time Support,Female,Google LLC.,Part Time,Support
"Male Tesla, Inc. Part Time Support",Male,"Tesla, Inc.",Part Time,Support
"Female Tesla, Inc. Part Time Support",Female,"Tesla, Inc.",Part Time,Support
Male Microsoft Full Time Design,Male,Microsoft,Full Time,Design
Female Microsoft Full Time Design,Female,Microsoft,Full Time,Design
Male Google LLC. Full Time Design,Male,Google LLC.,Full Time,Design
Female Google LLC. Full Time Design,Female,Google LLC.,Full Time,Design
"Male Tesla, Inc. Full Time Design",Male,"Tesla, Inc.",Full Time,Design
"Female Tesla, Inc. Full Time Design",Female,"Tesla, Inc.",Full Time,Design
Male Microsoft Part Time Design,Male,Microsoft,Part Time,Design
Female Microsoft Part Time Design,Female,Microsoft,Part Time,Design
Male Google LLC. Part Time Design,Male,Google LLC.,Part Time,Design
Female Google LLC. Part Time Design,Female,Google LLC.,Part Time,Design
"Male Tesla, Inc. Part Time Design",Male,"Tesla, Inc.",Part Time,Design
"Female Tesla, Inc. Part Time Design",Female,"Tesla, Inc.",Part Time,Design
Male Microsoft Full Time Search Engine,Male,Microsoft,Full Time,Search Engine
Female Microsoft Full Time Search Engine,Female,Microsoft,Full Time,Search Engine
Male Google LLC. Full Time Search Engine,Male,Google LLC.,Full Time,Search Engine
Female Google LLC. Full Time Search Engine,Female,Google LLC.,Full Time,Search Engine
"Male Tesla, Inc. Full Time Search Engine",Male,"Tesla, Inc.",Full Time,Search Engine
"Female Tesla, Inc. Full Time Search Engine",Female,"Tesla, Inc.",Full Time,Search Engine
Male Microsoft Part Time Search Engine,Male,Microsoft,Part Time,Search Engine
Female Microsoft Part Time Search Engine,Female,Microsoft,Part Time,Search Engine
Male Google LLC. Part Time Search Engine,Male,Google LLC.,Part Time,Search Engine
Female Google LLC. Part Time Search Engine,Female,Google LLC.,Part Time,Search Engine
"Male Tesla, Inc. Part Time Search Engine",Male,"Tesla, Inc.",Part Time,Search Engine
"Female Tesla, Inc. Part Time Search Engine",Female,"Tesla, Inc.",Part Time,Search Engine
Male Microsoft Full Time Sales,Male,Microsoft,Full Time,Sales
Female Microsoft Full Time Sales,Female,Microsoft,Full Time,Sales
Male Google LLC. Full Time Sales,Male,Google LLC.,Full Time,Sales
Female Google LLC. Full Time Sales,Female,Google LLC.,Full Time,Sales
"Male Tesla, Inc. Full Time Sales",Male,"Tesla, Inc.",Full Time,Sales
"Female Tesla, Inc. Full Time Sales",Female,"Tesla, Inc.",Full Time,Sales
Male Microsoft Part Time Sales,Male,Microsoft,Part Time,Sales
Female Microsoft Part Time Sales,Female,Microsoft,Part Time,Sales
Male Google LLC. Part Time Sales,Male,Google LLC.,Part Time,Sales
Female Google LLC. Part Time Sales,Female,Google LLC.,Part Time,Sales
"Male Tesla, Inc. Part Time Sales",Male,"Tesla, Inc.",Part Time,Sales
"Female Tesla, Inc. Part Time Sales",Female,"Tesla, Inc.",Part Time,Sales
